                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3418,                   2.82,                 1.7913,                0.00319,                0.09178,                0.00206,                0.00065,                 3.3939,                 3.8379,                 3.0454,                0.00032,                0.00032,                0.00032
                      2,                 1.5023,                 1.2971,                 1.1905,                0.00593,                0.17076,                0.00985,                0.00431,                 3.4756,                 3.8923,                 2.9153,             0.00065406,             0.00065406,             0.00065406
                      3,                 1.2994,                0.98936,                 1.0706,                0.78614,                0.35219,                0.45474,                0.25644,                 1.7213,                 2.5583,                 1.5111,               0.000982,               0.000982,               0.000982
                      4,                 1.2084,                0.88232,                 1.0298,                0.82963,                0.76948,                0.84337,                0.54973,                 1.2335,                 1.2422,                 1.0777,              0.0013038,              0.0013038,              0.0013038
                      5,                 1.1842,                0.83296,                 1.0199,                0.84083,                0.83671,                0.89917,                0.59356,                 1.1801,                0.96102,                  1.007,              0.0016195,              0.0016195,              0.0016195
                      6,                 1.1625,                0.80641,                  1.012,                 0.8656,                0.85379,                  0.927,                0.62751,                 1.1714,                0.79909,                 1.0126,                0.00191,                0.00191,                0.00191
                      7,                 1.1271,                0.78777,                 0.9951,                0.82614,                 0.8826,                0.90872,                0.62468,                 1.0796,                0.81646,                0.98181,               0.001892,               0.001892,               0.001892
                      8,                 1.1042,                0.75861,                0.99304,                0.78997,                0.91121,                0.91548,                0.62865,                 1.0837,                0.99834,                0.99572,               0.001874,               0.001874,               0.001874
                      9,                 1.1108,                0.72544,                0.99654,                0.84772,                0.91782,                0.93373,                0.64862,                 1.0788,                 1.0623,                0.98792,               0.001856,               0.001856,               0.001856
                     10,                 1.1112,                0.71875,                 0.9923,                0.87093,                0.90715,                0.95663,                0.65864,                 1.1533,                0.77866,                 1.0003,               0.001838,               0.001838,               0.001838
                     11,                  1.096,                0.69886,                0.98755,                 0.8682,                0.92316,                0.94799,                0.66038,                 1.0497,                 0.7537,                0.97806,                0.00182,                0.00182,                0.00182
                     12,                 1.0956,                0.66179,                0.98437,                0.87248,                0.90075,                0.94962,                0.67367,                 1.0403,                0.68722,                0.97108,               0.001802,               0.001802,               0.001802
                     13,                   1.07,                0.65097,                0.97327,                0.90709,                0.90181,                0.96048,                0.69661,                 1.0288,                0.63134,                0.96759,               0.001784,               0.001784,               0.001784
                     14,                 1.0638,                0.66674,                0.97485,                0.92765,                0.89221,                0.96243,                0.68913,                 1.0277,                0.74488,                0.96739,               0.001766,               0.001766,               0.001766
                     15,                 1.0446,                 0.6401,                0.96983,                0.89579,                0.90825,                0.96498,                0.69205,                 1.0063,                0.64462,                0.95589,               0.001748,               0.001748,               0.001748
                     16,                 1.0538,                 0.6324,                0.95934,                0.87724,                0.91889,                0.95882,                0.67691,                 1.0745,                0.79735,                0.98172,                0.00173,                0.00173,                0.00173
                     17,                 1.0636,                0.63887,                 0.9675,                0.89043,                0.91932,                 0.9618,                0.69643,                 1.0142,                0.74399,                 0.9538,               0.001712,               0.001712,               0.001712
                     18,                 1.0193,                0.60979,                0.95831,                0.88749,                0.90928,                0.95448,                0.67847,                 1.0455,                0.64038,                0.96897,               0.001694,               0.001694,               0.001694
                     19,                  1.027,                0.59614,                0.95907,                0.89704,                0.91121,                0.96261,                0.69395,                 1.0188,                0.59626,                0.95869,               0.001676,               0.001676,               0.001676
                     20,                  1.018,                0.58428,                0.95909,                0.90141,                0.93063,                0.96937,                0.69665,                 1.0346,                0.57264,                0.95806,               0.001658,               0.001658,               0.001658
                     21,                 1.0236,                 0.5888,                0.95819,                0.90796,                0.90541,                0.96436,                0.69209,                 1.0612,                0.58718,                 0.9623,                0.00164,                0.00164,                0.00164
                     22,                 1.0222,                0.57466,                0.95481,                0.90013,                0.91379,                0.96199,                0.69717,                 1.0103,                0.58998,                0.95207,               0.001622,               0.001622,               0.001622
                     23,                 1.0061,                0.57399,                0.95308,                0.89306,                0.90911,                0.96158,                0.69456,                 1.0016,                0.57531,                0.95031,               0.001604,               0.001604,               0.001604
                     24,                 1.0042,                0.56188,                0.94624,                0.90133,                0.92613,                0.97022,                0.70516,                 1.0084,                0.56131,                0.95235,               0.001586,               0.001586,               0.001586
                     25,                0.99575,                0.56511,                0.94776,                0.87585,                0.93357,                0.96646,                0.70286,                 1.0083,                0.55728,                0.95589,               0.001568,               0.001568,               0.001568
                     26,                 1.0106,                0.56869,                 0.9476,                 0.9049,                0.93424,                0.97562,                0.69914,                 1.0401,                0.55069,                0.96582,                0.00155,                0.00155,                0.00155
                     27,                0.98006,                0.54906,                0.94178,                0.91546,                0.90715,                0.97153,                0.71368,                0.99227,                0.54921,                0.94355,               0.001532,               0.001532,               0.001532
                     28,                0.97763,                0.54915,                0.94509,                0.91084,                0.91579,                0.96937,                0.71625,                0.98849,                0.52471,                0.94525,               0.001514,               0.001514,               0.001514
                     29,                0.99942,                0.56349,                0.94681,                0.89931,                0.89541,                0.96104,                0.68739,                 1.0412,                 0.5759,                0.96198,               0.001496,               0.001496,               0.001496
                     30,                0.97365,                0.54582,                0.94393,                0.90089,                0.92162,                  0.969,                0.71459,                0.98387,                0.55125,                0.94631,               0.001478,               0.001478,               0.001478
